Ten_Mon_An,Khoi_Luong_g,Calo,Protein,Chat_Beo,Tinh_Bot,Nhom_Thuc_Pham
Chocolate creams,30,130.0,0,4.0,24.0,"Desserts, sweets"
Fudge,90,370.0,0,12.0,80.0,"Desserts, sweets"
Hard candies,28,90.0,0,0.0,28.0,"Desserts, sweets"
Marshmallows,30,98.0,1,0.0,23.0,"Desserts, sweets"
Milk chocolate,56,290.0,2,6.0,44.0,"Desserts, sweets"
Chocolate syrup,40,80.0,0,0.0,22.0,"Desserts, sweets"
Doughnuts,33,135.0,2,7.0,17.0,"Desserts, sweets"
"Gelatin, made with water",239,155.0,4,0.0,36.0,"Desserts, sweets"
Honey,42,120.0,0,0.0,30.0,"Jams, Jellies"
Ices,150,117.0,0,0.0,48.0,"Desserts, sweets"
preserves,20,55.0,0,0.0,14.0,"Jams, Jellies"
Jellies,20,50.0,0,0.0,13.0,"Jams, Jellies"
Molasses,20,45.0,0,0.0,11.0,"Jams, Jellies"
Cane Syrup,20,50.0,0,0.0,13.0,"Jams, Jellies"
"9"" diam. pie",135,330.0,3,13.0,53.0,"Desserts, sweets"
Cherry Pie,135,340.0,3,13.0,55.0,"Desserts, sweets"
Lemon meringue,120,300.0,4,12.0,45.0,"Desserts, sweets"
Mince,135,340.0,3,9.0,62.0,"Desserts, sweets"
Pumpkin Pie,130,265.0,5,12.0,34.0,"Desserts, sweets"
Puddings Sugar,200,770.0,0,0.0,199.0,"Desserts, sweets"
3 teaspoons sugar,12,50.0,0,0.0,12.0,"Desserts, sweets"
"Brown, firm-packed, dark sugar",220,815.0,0,0.0,210.0,"Jams, Jellies"
Syrup,40,100.0,0,0.0,25.0,"Jams, Jellies"
table blends sugar,40,110.0,0,0.0,29.0,"Jams, Jellies"
Tapioca cream pudding,250,335.0,10,10.0,42.0,"Desserts, sweets"
Almonds,70,425.0,13,38.0,13.0,Seeds and Nuts
roasted and salted,70,439.0,13,40.0,13.0,Seeds and Nuts
Brazil nuts,70,457.0,10,47.0,7.0,Seeds and Nuts
Cashews,70,392.0,12,32.0,20.0,Seeds and Nuts
coconut sweetened,50,274.0,1,20.0,26.0,Seeds and Nuts
Peanut butter,50,300.0,12,25.0,9.0,Seeds and Nuts
"Peanut butter, natural",50,284.0,13,24.0,8.0,Seeds and Nuts
Peanuts,50,290.0,13,25.0,9.0,Seeds and Nuts
Pecans,52,343.0,5,35.0,7.0,Seeds and Nuts
Sesame seeds,50,280.0,9,24.0,10.0,Seeds and Nuts
Sunflower seeds,50,280.0,12,26.0,10.0,Seeds and Nuts
Walnuts,50,325.0,7,32.0,8.0,Seeds and Nuts
Beer,480,228.0,0,0.0,8.0,"Drinks,Alcohol, Beverages"
Gin,28,70.0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines,120,164.0,0,0.0,9.0,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),120,100.0,0,0.0,5.0,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,346,0.0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,346,0.0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,346,137.0,0,0.0,38.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,346,161.0,0,0.0,42.0,"Drinks,Alcohol, Beverages"
Ginger ale,346,105.0,0,0.0,28.0,"Drinks,Alcohol, Beverages"
Root beer,346,140.0,0,0.0,35.0,"Drinks,Alcohol, Beverages"
Coffee,230,3.0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
Tea,230,4.0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
